No.,Character,Unicode,Set,Challenge note,TW/Hakka code,IICore TW,IICore HK,Table A,Table B,Small dict,Revised,County/city name,Road name,Surname flag,Examinee,City,JIS,Font count,Category,Notes
6448,嚆,5686,Big5-2,,,A,,V,,V,,,,,,2,,9,,
5899,瘖,7616,Big5-2,,C,,,V,V,V,,,,,,3,,11,,瘖啞人士 (deaf-mute / mute person (瘖啞))
3720,蓊,084CA,Big5-1,HK / Hakka note,A,,,V,V,V,,,,2,,2,,14,Uncategorized,
5221,糴,07CF4,Big5-2,TW / Hakka,B,,,V,,V,,,21,6,,2,,13,Common word,More common in agrarian times; today mostly in place names
5953,藜,085DC,Big5-2,,A,A,,V,,V,,,,32,,2,,11,,
5638,踊,08E0A,Big5-2,,A,A,,V,,V,,,,,,1,常,12,Common word,日本舞踊 (Japanese classical dance (nihondbuyo))
5901,皸,076B8,Big5-2,,C,,,V,,V,,,,,,2,,11,Occasionally used,皸裂 (chapping / 龜裂); also seen in Japanese
6575,痤,7.50E+05,Big5-2,,B,,,V,,V,,,,,,3,,9,,
7276,璁,7481,Big5-2,,B,,,V,,V,,,,504,,4,,7,Surname / personal name,
6014,陜,0965C,Big5-2,,A,A,,V,,V,,1,,,,2,,11,,
8038,酞,0915E,CJK,,,,,,,,,,,,,,,6,,
653,喆,5586,CJK,,,A,,,,V,,,,293,,3,,14,Uncategorized,
5293,裱,088F1,Big5-2,TW,B,B,,V,,V,,,,,,4,,13,Common word,裱匡 (mount and frame (artwork))
3621,苹,082F9,Big5-2,,A,,,V,,V,,,,450,,2,,14,Uncategorized,
4059,謐,08B10,Big5-1,,A,A,,V,V,V,,,,16,,2,,14,Uncategorized,
5330,郤,9.00E+05,Big5-2,,C,,,V,,V,,,52,4,,2,,13,Variant form,隙; also rare surnames
5561,眥,7725,Big5-2,HK / Hakka note,C,,,V,,V,,,,1,,2,,12,,眥睚必報 (avenge even a tiny slight)
5263,菓,083D3,CJK,,A,A,,,,V,,8,,5,,1,常,13,Food,菓子 (wagashi / confection (菓子))
722,噠,5660,Big5-2,,C,,,V,,V,,,,1,,4,,14,Uncategorized,
5611,蓖,084D6,Big5-2,,A,,,V,,V,,,,,,2,,12,Flora & fauna,
5698,龕,09F95,Big5-2,TW / Hakka,A,A,,V,V,V,,,,,,2,,12,,神龕 (shrine / household altar niche)
1432,惇,060C7,Big5-1,HK / Hakka note,A,A,,V,,V,,,,329,,1,人,14,Uncategorized,
5704,伃,04F03,CJK,,,,,,,V,,,,1439,,3,,11,Surname / personal name,
5289,蟠,8.70E+01,Big5-1,,A,A,,V,V,V,,,,2,,2,,13,Common word,蟠桃 (flat peach / mythical peach of immortality)
11000,蠊,0880A,Big5-2,,,,,,,,,,,,,3,,3,,蜚蠊() (cockroach)
10507,櫱,06AF1,Big5-2,,,,,V,,V,,,,,,4,,3,,
5514,櫟,06ADF,Big5-2,,B,,,V,,V,,,,5,,2,,12,Flora & fauna,
1335,徉,05F89,Big5-1,,A,A,,V,V,V,,,,3,,3,,14,Uncategorized,
3601,芷,082B7,Big5-1,TW / Hakka,A,A,,V,,V,,,,2916,,3,,14,Uncategorized,
5249,舺,0823A,Big5-2,TW,C,,,V,V,V,,1,,,,,,13,Taiwan place name,艋舺 (Bangka / Wanhua (Taipei))
1782,攢,6522,Big5-2,TW,B,B,,V,,V,,,,3,,3,,14,Uncategorized,
6100,坳,5773,Big5-2,TW,B,,,V,,V,,,,,,4,,10,,
5846,櫨,06AE8,Big5-2,,,,,V,,V,,,,,,1,,11,Flora & fauna,
5314,踮,08E2E,Big5-2,TW,B,,,V,V,V,,,,,,,,13,Common word,踮腳尖 (stand on tiptoe)
5378,鬟,09B1F,Big5-2,,C,,,V,V,V,,,,,,2,,13,Common word,丫鬟 (maidservant)
5374,驁,09A41,Big5-2,,C,,,V,,V,,,,,,,,13,Common word,桀驁不馴 (unruly / defiant)
5871,滉,06EC9,Big5-2,HK / Hakka note,A,A,,V,,V,,,,8,,2,人,11,Japanese,Japanese personal name
5205,禳,079B3,Big5-1,,A,A,,V,,V,,,,,,2,,13,Geography / society,Jade Second Goddess ritual for plague relief / blessing
5353,鍘,9358,Big5-2,TW,C,,,V,V,V,,,,,,,,13,Common word,虎頭鍘 (tiger-head guillotine (execution tool))
5253,芫,082AB,Big5-2,TW,B,,,V,,V,,,,176,,2,,13,Common word,芫荽 (cilantro / coriander)
5344,鉚,0925A,Big5-1,,A,,,V,,V,,,,,,2,,13,Classical Chinese,鉚釘 (rivet)
5964,衾,0887E,Big5-2,,,A,,V,,V,,,,3,,2,,11,,
5967,褔,8914,Big5-2,,B,,,V,,V,,30,,10,,,,11,,
7462,鯝,09BDD,CJK,,C,,,,V,,,,,,,4,,7,,鯝魚 (a kind of carp / xenocypris)
6937,簋,07C0B,Big5-2,,,,,V,,V,,,,,,4,,8,,故宮文物 (National Palace Museum artifact)
5401,仨,04EE8,Big5-2,,,,,V,,V,,,,,,,,12,Surname / personal name,Common in company / shop names
5573,竑,07AD1,Big5-2,,B,,,V,,V,,,,255,,4,,12,Common in naming,
5283,蝟,0875F,Big5-2,,A,A,,V,V,V,,,,,1,2,,13,Flora & fauna,刺蝟 (hedgehog)
5761,埡,5.70E+02,Big5-2,,C,,,,V,,,,,,,,,11,,
7046,髡,09AE1,Big5-1,TW,A,,,V,,V,,,,,,,,8,,
5042,嗲,055F2,Big5-2,TW / Hakka,B,B,,V,,V,,,,,,,,13,Common word,聲音很嗲 (cutesy / coquettish voice)
8549,氕,06C15,Big5-2,,,,,V,,V,,,,,,,,5,,"氕氘氚 (protium, deuterium, tritium)"
5048,囫,056EB,Big5-1,TW / Hakka,A,,,V,V,V,,,,,,,,13,Common word,囫圇吞棗 (swallow dates whole — accept without digesting)
7236,樨,06A28,Big5-2,,,,,V,,V,,,,2,,,,7,,
5779,嬖,05B16,Big5-2,,,A,,V,,V,,,,2,,2,,11,Classical Chinese,Occasionally used in naming
5377,髖,09AD6,Big5-1,,A,A,,V,,V,,,,,,3,,13,Common word,髖關節 (hip joint)
6120,屘,05C58,Big5-1,TW,A,,,V,,V,,,,,,,,10,,
6058,僉,050C9,Big5-2,,A,A,,V,,V,,,,,,2,,10,,
5564,碁,7881,Big5-2,,A,A,,,,V,,,,24,,1,常,12,,宏碁 (Acer (宏碁))
5579,粲,07CB2,Big5-2,,A,A,,V,,V,,,,42,2,2,,12,Common in naming,
5107,擢,6.40E+03,Big5-1,TW,A,A,,V,V,V,,,,1,,1,人,13,Common word,擢髮難數 (countless as hairs on a head)
2356,淼,06DFC,Big5-2,,B,B,,V,,V,,,,95,,3,,14,Uncategorized,
5169,獼,0737C,Big5-2,,B,B,,V,V,V,,,,,,3,,13,Flora & fauna,🐒 (monkey)
1790,攸,6538,Big5-1,,A,A,,V,V,V,,,13,159,,2,,14,Uncategorized,
6543,泫,06CEB,Big5-2,,,A,,V,,V,,,,18,,3,,9,,泫雅 (HyunA)
5390,鵜,09D5C,Big5-2,,A,,,V,,V,,,,,1,1,人,13,Flora & fauna,鵜鶘 (pelican)
6005,鍶,9376,Big5-2,,C,,,V,,V,,,,12,,,,11,,
926,妏,0598F,Big5-2,,C,,,,,,,,1,1407,,,,14,Uncategorized,
6930,砠,7820,Big5-1,,A,,,V,,V,,,,,,2,,8,,
2710,瑄,7444,Big5-2,,A,A,,V,,V,,,,4974,,3,,14,Uncategorized,
6169,暍,0668D,Big5-1,,A,,,V,,V,,,,,,3,,10,,
2583,燾,071FE,Big5-1,,A,A,,V,,V,,,,16,,3,,14,Uncategorized,
5157,炤,070A4,Big5-1,TW,A,A,,V,,V,,,,104,,3,,13,Surname / personal name,王炤霖 (personal name (王炤霖))
6946,繈,7.00E+48,Big5-1,,A,,,V,,V,,,,,,,,8,,
6909,獴,7374,CJK,,C,,,,,,,,,,,,,8,,狐獴 (meerkat)
5529,潯,06F6F,Big5-1,,A,A,,V,,V,,,,1,,2,,12,Classical Chinese,潯陽江頭夜送客 (seeing a guest off at night on the Xunyang River (琵琶行))
1345,徜,05F9C,Big5-1,,A,A,,V,V,V,,,,1,,3,,14,Uncategorized,
6232,爌,0720C,Big5-2,HK / Hakka note,C,,,V,,,,,,,,,,10,,
5500,枒,6792,Big5-2,,C,,,V,V,V,,,,,,4,,12,Variant form,椏 (fork of a branch)
5453,埜,057DC,Big5-2,,A,,,V,,V,,1,,10,,1,人,12,Variant form,野 (wild / field)
5501,枳,067B3,Big5-2,,A,A,,V,V,V,,,,2,,2,,12,Occasionally used,"南橘北枳 (south orange, north trifoliate — environment changes nature)"
6651,詎,08A4E,Big5-2,,C,,,V,,V,,,,,,3,,9,,詎料 (who would have thought)
5432,呿,0547F,Big5-2,TW / Hakka,,,,V,,V,,,,,,3,,12,Onomatopoeia,呿! (exclamation (opening the mouth))
5690,鴇,09D07,Big5-2,,A,,,V,,V,,,,,,1,,12,Common word,老鴇 (brothel madam)
5757,垛,0579B,Big5-2,,A,,,V,,V,,,,,,,,11,Common in naming,
6657,譭,08B6D,Big5-2,,B,B,,,,,,,,,,,,9,,
5247,腴,8174,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,豐腴 (plump / rich)
5066,嬛,05B1B,Big5-2,,,,,V,V,V,,,,67,,,,13,Surname / personal name,甄嬛 (Zhen Huan (drama character))
8105,鮘,09B98,CJK,TW,,,,,,,,1,,,,,,6,,Place name: 大鮕鮘
5799,怙,6019,Big5-2,TW / Hakka,B,,,V,,V,,,,,,2,,11,,
6233,爿,0723F,Big5-2,TW,B,,,,,V,,,,,,2,,10,,
5138,沬,06CAC,Big5-1,TW,A,,,V,,V,,,,,,,,13,Historical / geographic,水名 (name of a river / water body)
5394,鸝,09E1D,Big5-2,,C,,,V,V,V,,,,15,,4,,13,Flora & fauna,黃鸝 (oriole)
6677,酐,9150,Big5-2,,C,,,V,,V,,,,,,,,9,,
5281,蜊,0870A,Big5-1,TW,A,,,V,,V,,1,,,,2,,13,Flora & fauna,蛤蜊 (clam)
1510,懋,061CB,Big5-1,,A,A,,V,,V,,,,573,,2,,14,Uncategorized,
5925,縴,7.00E+34,Big5-1,,A,,,V,V,V,,,,,,,,11,,
5191,痠,7.50E+01,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,4,,13,Common word,痠痛 (soreness / ache)
1173,崗,05D17,Big5-1,TW / Hakka,A,A,,V,V,V,,39,3,38,2,2,,14,Uncategorized,
5342,鈿,0923F,Big5-1,,A,A,,V,,V,,,,51,,2,,13,Surname / personal name,Common in company / shop names
5470,巉,05DC9,Big5-1,,A,,,V,,V,,,,,,2,,12,,
6315,藿,085FF,Big5-2,,A,A,,V,,V,,,,1,,3,,10,,藿香 (agastache / Korean mint (herb))
5334,酢,9162,Big5-2,,A,A,,V,,V,,,,,,1,常,13,Flora & fauna,酢漿草 (wood sorrel / Oxalis)
6290,耑,8011,Big5-1,,A,,,V,,V,,,,20,,4,,10,,
5680,饃,9943,Big5-2,,,,,V,,V,,,,,,,,12,Food,饃夾肉 (rou jia mo / Chinese meat sandwich)
2291,泵,06CF5,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,,,14,Uncategorized,
3708,蒟,0849F,Big5-2,,B,,,V,,V,,,,1,,2,,14,Uncategorized,
6301,苻,082FB,Big5-2,TW,,,,V,V,V,,,,,,2,,10,,「苻」 is a surname and not Taiwan-local-only; suggest moving from local to basic set.
1986,枷,067B7,Big5-2,TW / Hakka,A,A,,V,V,V,,,,3,,2,,14,Uncategorized,
2848,癡,7661,Big5-1,TW,A,A,,,,V,,,,,,2,,14,Uncategorized,
7934,蒽,084BD,CJK,,,,,,,,,,,,,,,6,,"Anthracene (蒽, ㄣ); aka 荌 / 綠油腦; polycyclic aromatic hydrocarbon"
5238,罅,07F45,Big5-2,HK / Hakka note,B,B,,V,,V,,,,,,2,,13,Surname / personal name,Fairly common in company / fan-page names
4646,隼,096BC,Big5-2,,A,A,,V,,V,,,,11,1,1,人,14,Uncategorized,
5911,笏,07B0F,Big5-2,,A,A,,V,,V,,,,4,2,2,,11,Taiwan place name,
612,唄,5504,Big5-2,,A,A,,V,,V,,,1,,10,1,常,14,Uncategorized,
5425,厂,5382,Big5-2,,,,,V,,V,,,,2,,2,,12,Radical,Also used as simplified 廠
5644,逶,9036,Big5-1,,A,,,V,V,V,,,,,,2,,12,,逶迤 (winding / meandering)
5786,屨,05C68,Big5-1,,A,,,V,,V,,,,,,4,,11,Classical Chinese,
4910,鰲,09C32,Big5-2,,A,A,,V,,V,,14,,5,,2,,14,Uncategorized,
5603,苙,082D9,Big5-2,,C,,,V,V,V,,,,23,,2,,12,Surname / personal name,Looks like a common personal-name form…
716,噁,5641,Big5-2,TW,C,,,V,,V,,,,,,,,14,Uncategorized,
5689,鱘,09C58,Big5-2,,B,B,,V,,V,,,,,1,4,,12,,
5340,鈹,9239,Big5-1,,A,,,V,,V,,,,,,3,,13,Science & engineering,Periodic-table element
5578,粑,07C91,Big5-2,HK / Hakka note,B,,,V,V,V,,,,,,,,12,Common word,糌粑、粑粑絲 (tsampa; also shredded rice snacks (粑))
6831,帔,5.00E+14,Big5-2,TW,B,,,V,,V,,,,,,3,,8,,
5884,犽,072BD,Big5-2,,,,,V,,V,,,,,,,,11,,犽宿 (constellation / lodge name (犽))
5463,孛,05B5B,Big5-1,,A,A,,V,,V,,,,4,,2,,12,Variant form,勃 (sudden / vigorous; also vulgar sense)
,,,,,,,,,,,,,,,,,,,,
6073,呤,5464,Big5-2,,B,,,,,,,,,1,,,,10,Science & engineering,Purine (嘌呤 / 普林; common in food labels)
5562,硐,7850,Big5-2,TW,C,,,,,,,2,,,,,,12,Taiwan place name,侯硐 (Houtong (New Taipei))
6420,佺,04F7A,Big5-1,,A,A,,V,,V,,,,18,,4,,9,,
1821,斕,6595,Big5-1,,A,A,,V,V,V,,,,2,,,,14,Uncategorized,
5533,焢,7122,Big5-2,,C,,,,,,,,,,,,,12,Variant form,Folk spelling for 炕肉飯
5665,錸,9338,Big5-2,,C,,,V,,V,,,,2,,,,12,Common in naming,錸德 (Ritek (錸德))
5012,万,4.00E+07,Big5-2,,,A,,V,,V,,,2,8,,1,常,13,Variant form,萬 (ten thousand / myriad)
633,啓,5553,CJK,,,A,,,,V,,5,,7,,1,常,14,Uncategorized,
5512,槿,069FF,Big5-2,,A,A,,V,V,V,,,,101,,2,,12,Common word,朴槿惠 (Park Geun-hye)
5610,蒴,084B4,Big5-2,,C,,,V,,V,,,,2,,3,,12,Flora & fauna,
5863,洳,06D33,Big5-2,,,,,V,,V,,,,148,,2,,11,Surname / personal name,鄭孟洳 (personal name (鄭孟洳))
414,勺,052FA,Big5-1,HK / Hakka note,A,A,,V,V,V,,,1,17,1,1,人,14,Uncategorized,
5402,价,04EF7,Big5-2,,,A,,V,,V,,,,54,,2,,12,Variant form,價 (price / value)
6184,楢,6962,Big5-2,,A,A,,V,,V,,,,3,1,1,人,10,,
5907,稗,07A17,Big5-2,TW / Hakka,A,A,,V,,V,,,,,,1,,11,,稗官野史 (unofficial histories / anecdotes)
5599,腓,8153,Big5-1,,A,,,V,,V,,,,2,2,2,,12,Geography / society,腓尼基 (Phoenicia / Phoenician)
5785,屙,05C59,Big5-2,HK / Hakka note,,B,,V,,V,,,,,,,,11,Occasionally used,屙屎 (defecate (vulgar/colloquial))
6637,蛺,086FA,Big5-2,,C,,,V,,V,,,,,,3,,9,,Suggest including 「蛺」. Used in butterfly taxonomy (蛺蝶); common in Taiwan ecology / education contexts.
5819,杙,6759,Big5-2,TW,C,,,V,,V,,1,,6,,2,,11,,
6551,澂,06F82,Big5-2,,B,,,V,,V,,,,99,,2,,9,,
5806,扱,6271,Big5-2,TW,,A,,V,,V,,,,,,1,常,11,Japanese,
6249,瘺,0763A,Big5-1,,A,,,V,,V,,,,,,,,10,,
5147,淬,06DEC,Big5-1,HK / Hakka note,A,,,V,V,V,,,,2,,2,,13,Common word,淬鍊 (temper / hone through trial)
5049,囿,056FF,Big5-1,,A,A,,V,,V,,,,72,,2,,13,Common word,囿於成見 (constrained by prejudice)
1865,昕,6615,Big5-1,,A,A,,V,,V,,,,2448,,3,,14,Uncategorized,
8824,蟥,8.70E+06,Big5-2,,,,,V,,V,,,,,,4,,5,,螞蟥 (leech)
2703,琬,0742C,Big5-2,,A,A,,V,,V,,,,3399,,3,,14,Uncategorized,
6126,庹,05EB9,Big5-2,,B,,,V,,V,,,50,4,,4,,10,,
5190,痂,075C2,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,2,,13,Common word,結痂 (form a scab)
6321,袪,088AA,Big5-2,,B,,,V,,V,,,,,,3,,10,,
5321,迨,08FE8,Big5-1,,A,,,V,,V,,,,,,3,,13,Classical Chinese,Same sense as 「待」; lots of mojibake on Google Maps
5199,瞋,0778B,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,2,,13,Common word,瞋目 (glare angrily)
5234,縵,7.00E+35,Big5-1,,A,,,V,,V,,,,16,,2,,13,Occasionally used,縵布 (unpatterned plain silk)
5557,癇,7647,Big5-2,,B,B,,V,,V,,,,,,2,,12,Common word,癲癇 (epilepsy)
5703,亘,4.00E+98,CJK,,,A,,,,V,,,,520,1,1,人,11,Surname / personal name,
5365,陂,9642,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,2,,13,Common word,陂塘 (irrigation pond)
6589,禕,7995,Big5-2,,C,,,V,,V,,,,232,,4,,9,,Personal name
5272,蓑,084D1,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,1,人,13,Common word,蓑衣 (straw rain cape)
5815,旂,065C2,Big5-2,,C,,,V,,V,,,,94,,4,,11,Common in naming,
5904,砦,7826,Big5-2,,A,A,,V,,V,,,,1,,1,人,11,,Japanese; also rare surnames
5653,醐,9190,Big5-2,,A,,,V,,V,,,,,,1,人,12,Common word,醍醐味 (exquisite flavor (醍醐))
6277,紲,07D32,Big5-1,TW,A,,,V,,V,,,,,,2,,10,,
5381,魍,09B4D,Big5-1,TW,A,,,V,,V,,,,,,2,,13,Common word,魑魅魍魎 (demons and monsters of all kinds)
5974,諏,08ACF,Big5-2,,A,A,,V,,V,,,,6,3,1,人,11,,
5944,菘,083D8,Big5-2,,B,,,V,,V,,,,206,,2,,11,,
6545,洮,06D2E,Big5-1,,A,,,V,,V,,,,3,1,3,,9,,
5296,訶,08A36,Big5-1,,A,A,,V,,V,,,,,,2,,13,Common word,唐吉訶德 (Don Quixote)
13407,鮕,09B95,Big5-2,TW,,,,,,,,1,,,,,,2,,Place name: 大鮕鮘
2803,疸,075B8,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,2,,14,Uncategorized,
3585,艷,8277,Big5-1,TW,A,A,,,,V,,,,199,,2,,14,Uncategorized,
5194,皋,0768B,Big5-1,,A,,,V,,V,,,10,12,,2,,13,Surname / personal name,
7865,粩,07CA9,CJK,TW,,,,,,,,,,,,,,6,,麻粩 (sesame snack (Taiwan))
14260,弳,05F33,Big5-2,,,,,V,,,,,,,,,,1,,
6322,褙,8919,Big5-2,TW,A,A,,V,,V,,,,,,3,,10,,
5895,畯,0756F,Big5-2,,,A,,V,,V,,,,84,,3,,11,,
6258,礑,7911,Big5-2,,C,,,,,,,,,,,2,,10,,
6494,戇,6207,Big5-2,TW / Hakka,A,A,,V,,V,,,,,,,,9,,
5398,齧,09F67,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,2,,13,Common word,齧齒類 (rodents)
6012,闇,095C7,Big5-2,TW,A,A,,V,,V,,,39,2,,1,常,11,,
5241,耨,8028,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,耨瘡 (sores from hoeing / farm work (rare))
5652,醍,0918D,Big5-2,,A,A,,V,,V,,,,4,,1,人,12,Common word,醍醐味 (exquisite flavor (醍醐))
6639,蝮,0876E,Big5-2,,,,,V,,V,,,,,,2,,9,,蝮蛇 (pit viper)
7053,鶺,09DBA,Big5-2,TW / Hakka,B,,,V,,V,,,,,,2,,8,,
717,噌,0564C,Big5-2,TW,A,A,,V,,V,,,,,,1,人,14,Uncategorized,
6328,觥,8.90E+06,Big5-2,,B,B,,V,,V,,,,,,3,,10,,
6699,霤,9724,Big5-1,,A,,,V,,V,,,,,,2,,9,,
7933,蒺,084BA,Big5-2,,,,,V,,V,,,,,,3,,6,,蒺藜 (caltrop / puncture vine)
2711,瑋,0744B,Big5-2,TW,A,A,,V,V,V,,,,18548,,3,,14,Uncategorized,
2726,璀,7480,Big5-1,,A,A,,V,V,V,,,,4,,,,14,Uncategorized,
5880,焠,7120,Big5-2,TW,C,,,V,,V,,,,1,,3,,11,,Sometimes replaces 淬; also used in Japanese
5019,佼,04F7C,Big5-2,,A,A,,V,,V,,,,25,,1,,13,Common word,佼佼者 (outstanding person; the cream of the crop)
5842,檗,06A97,Big5-1,,A,A,,V,,,,,,,,2,,11,China place name,
5366,陬,0966C,Big5-1,,A,,,V,,V,,,,,,2,,13,Classical Chinese,山陬海隅 (remote corners of mountains and seas)
5763,埼,057FC,Big5-2,,A,A,,,,V,,,,28,10,1,常,11,World place name,埼玉 (Saitama (Japan))
5708,侗,04F97,Big5-2,TW,,A,,V,,V,,,,2,,3,,11,Common in naming,
5875,澪,06FAA,Big5-2,,,,,,,,,,,1,,2,人,11,Japanese,
5711,俵,04FF5,Big5-2,,A,A,,V,,V,,,,,,1,常,11,,Occasionally used in naming
5574,筴,07B74,Big5-2,,,,,V,,V,,,,,,2,,12,Common word,竹筴魚 (horse mackerel / jack mackerel)
5760,埗,057D7,CJK,,,B,,,,,,,,,,4,,11,Cantonese,深水埗 (Sham Shui Po (HK))
5913,筊,07B4A,Big5-2,TW / Hakka,C,,,V,,V,,,,,,,,11,,
5876,灞,0705E,Big5-1,,A,,,V,,V,,,,,,3,,11,Common in naming,
5577,籀,07C40,Big5-1,,A,,,V,,V,,,,,,2,,12,Common word,籀文 (Zhouwen script (ancient))
6074,咂,5482,Big5-2,TW / Hakka,B,,,V,,V,,,,,,,,10,,
5416,儺,0513A,Big5-2,,,A,,V,,V,,,,,,2,,12,,兩面宿儺 (Ryomen Sukuna (Jujutsu Kaisen))
7491,㹴,3.00E+74,ExtA,,,,,,,,,,,,,,,6,,㹴犬 (a kind of dog)
5730,呔,5454,Big5-2,TW,,B,,V,,V,,,,,,,,11,Taiwanese (Hokkien),
5491,撙,6499,Big5-1,TW / Hakka,A,,,V,,V,,,,,,,,12,Common word,撙節支出 (cut spending / economize)
5826,柝,067DD,Big5-1,TW,A,A,,V,,V,,,,,,2,,11,,
5513,橈,06A48,Big5-1,,A,A,,V,,V,,,,,,2,,12,,
6163,旒,065D2,Big5-2,,A,A,,V,,V,,,,1,,2,,10,,
5098,担,062C5,CJK,,,,,,,V,,,,,,1,常,13,Variant form,"Suggest moving 「担」 (variant of 擔) at least into the local set, ideally basic. Common in TW usage: 担仔麵、担担麵, etc."
5114,暸,066B8,Big5-1,,A,,,,,,,,,,,2,,13,Uncategorized,More common forms are 嘹 and 瞭; 暸 is rare
3699,葱,8471,CJK,,A,A,,,,,,,,,,1,,14,Uncategorized,
5103,搐,6410,Big5-2,TW / Hakka,A,A,,V,,V,,,,,,3,,13,Common word,抽搐 (twitch / convulse)
5492,撢,064A2,Big5-1,,A,,,V,V,V,,,,,,,,12,Common word,雞毛撢子 (feather duster)
4902,鯛,09BDB,Big5-1,,A,,,V,,V,,,,,2,1,人,14,Uncategorized,
5474,彧,05F67,Big5-2,,A,A,,V,,V,,,,257,,3,,12,Surname / personal name,
5498,杠,6760,Big5-1,,A,A,,V,,V,,,,,,2,,12,Classical Chinese,
6931,硎,0784E,Big5-1,,A,,,V,,V,,,,,,3,,8,,
5524,涿,06DBF,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,3,,12,Common in naming,涿鹿之戰 (Battle of Zhuolu)
5097,懟,061DF,Big5-2,,C,,,V,,V,,,,,,4,,13,Common word,怨懟 (resentment / blame)
5597,腊,0814A,Big5-2,,A,,,V,,V,,,,1,,3,,12,Variant form,臘 (cured meat / 12th lunar month)
5328,邨,090A8,CJK,,A,A,,,,V,,24,,5,,2,,13,Variant form,村 (village)
9665,芛,0829B,Big5-2,,,,,V,,,,,,21,,,,4,,麻芛 (Taiwanese vegetable (麻芛))
5318,躋,08E8B,Big5-1,,A,A,,V,,V,,,,1,,2,,13,Common word,躋身上游 (rise to the upper ranks)
1920,曬,066EC,Big5-1,,A,A,,,,V,,,1,,1,4,,14,Uncategorized,
3736,蔻,0853B,Big5-2,,B,B,,V,V,V,,,,2,12,,,14,Uncategorized,
3712,蒻,084BB,Big5-2,,A,A,,V,,V,,,,,,2,,14,Uncategorized,
5829,棨,6.80E+09,Big5-2,,A,A,,V,,V,,,,185,,3,,11,Common in naming,
5798,徼,05FBC,Big5-2,TW / Hakka,,,,V,,V,,,,,,2,,11,Classical Chinese,
6995,躓,8.00E+93,Big5-1,,A,,,V,,V,,,,,,2,,8,,
5650,酮,0916E,Big5-2,,A,A,,V,,V,,,,,,,,12,Common word,生酮飲食、酮酸中毒 (ketogenic diet; ketoacidosis)
6220,炷,070B7,Big5-2,,A,A,,V,,V,,,,3,,3,,10,,
8504,椌,0690C,Big5-2,,,,,V,,V,,,,,,2,,5,,蘭嶼椌木 (Orchid Island 椌木 (plant))
8622,痀,075C0,Big5-2,TW / Hakka,C,,,V,,V,,,,,,4,,5,,痀僂 · ㄐㄩ ㄌㄡ (hunchbacked (ㄐㄩ ㄌㄡ))
12044,岈,05C88,Big5-2,,,,,V,,V,,,,,,4,,2,,岈然窪然 (from 始得西山宴游記)
1915,曜,066DC,Big5-1,TW,A,A,,V,V,V,,,1,1321,,1,常,14,Uncategorized,
616,唏,0550F,Big5-1,TW,A,A,,V,,V,,,,,,2,,14,Uncategorized,
5468,嶂,05D82,Big5-2,,,,,V,,V,,,,9,,2,,12,,重巒疊嶂 (layer upon layer of peaks)
5827,柺,067FA,Big5-2,,B,B,,,,,,,,,,,,11,Variant form,拐 (turn / abduct / crutch)
5965,衿,0887F,Big5-2,HK / Hakka note,,A,,V,,V,,,,81,,1,人,11,,
5666,鎌,0938C,Big5-2,,A,A,,V,,,,2,,15,20,1,常,12,Japanese,鎌倉時代 (Kamakura period)
6692,鏨,9.30E+09,Big5-1,TW / Hakka,A,,,V,,V,,,,,,2,,9,,
5676,靳,9773,Big5-2,TW,A,A,,V,,V,,,1390,65,,3,,12,Historical / geographic,
5691,鵯,09D6F,Big5-2,,B,,,V,,V,,,,,,2,,12,,
5797,彣,05F63,CJK,,C,,,,,,,,,1351,,4,,11,Surname / personal name,
1699,揹,063F9,Big5-1,TW / Hakka,A,,,V,,V,,,,,,,,14,Uncategorized,
5045,囟,056DF,Big5-2,TW / Hakka,B,,,V,,V,,,,,,4,,13,Classical Chinese,Means “forehead”
5894,畋,0754B,Big5-1,,A,,,V,,V,,,,4,,2,,11,Common in naming,
3598,芯,082AF,Big5-1,HK / Hakka note,A,A,,V,,V,,,,772,,1,常,14,Uncategorized,
8030,逭,0902D,Big5-2,,,,,V,,V,,,,,,3,,6,,罪無可逭 (guilt beyond escape)
5885,獒,7352,Big5-2,HK / Hakka note,A,A,,V,,V,,,,,,4,,11,,獒犬 (mastiff)
5860,泠,06CE0,Big5-1,,A,,,V,,V,,,,90,,3,,11,,
6007,鏞,093DE,Big5-2,,A,A,,V,,V,,1,,71,,3,,11,,
6107,塒,5852,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,2,,10,,
5209,窸,07AB8,Big5-2,TW,B,,,V,V,V,,,,,,,,13,Binome / fixed compound,窸窸窣窣 (rustling sound)
5625,衩,8869,Big5-2,,B,,,V,,V,,,,,,4,,12,Common word,高衩褲 (high-slit pants / high-cut bottoms)
